taxon	latitude	longitude
AB033550	33.3431887795	134.9307404236
AB033554	-2.3045941592	118.5275669247
AB111946	15.880672531	106.7863444469
AB112066	15.2357758333	97.1170427803
AB112471	10.826174473	100.0321841486
AB117759	11.8647366524	104.4581350327	
AB179747	41.471086176	12.2228024167
AB198076	31.3068442593	109.4304560078
AB205190	7.0869990345	-0.6788566207
AB219428	11.4823584448	122.5890168578
AJ344117	46.339250578	1.5156738165
AY341335	37.779236413	24.2931907174
AY641558	39.8942378947	126.8819515526
AY721605	39.1656946813	32.8656198791
AY738143	53.0628804798	10.0541526939
AY738147	-4.6027905391	22.3356877351
DQ060824	-21.3700228571	19.1068796429
DQ315776	17.9831869307	84.5569572724
AB205128	67.7822238778	83.2782706988

